iter	Passed	Remaining
0	10	4324
1	20	4053
2	28	3737
3	36	3629
4	48	3831
5	59	3906
6	69	3879
7	78	3868
8	88	3835
9	97	3803
10	105	3745
11	114	3693
12	122	3655
13	132	3640
14	140	3612
15	150	3610
16	159	3586
17	168	3566
18	176	3540
19	185	3523
20	193	3490
21	202	3470
22	210	3453
23	219	3441
24	228	3430
25	237	3414
26	244	3379
27	253	3367
28	262	3355
29	271	3345
30	280	3333
31	288	3318
32	297	3309
33	306	3295
34	316	3302
35	324	3281
36	332	3259
37	341	3251
38	348	3225
39	356	3212
40	365	3202
41	374	3193
42	383	3183
43	390	3162
44	399	3150
45	408	3144
46	417	3136
47	426	3128
48	435	3118
49	444	3108
50	454	3108
51	463	3100
52	471	3090
53	481	3086
54	490	3076
55	499	3071
56	509	3063
57	518	3055
58	527	3047
59	536	3038
60	544	3028
61	553	3019
62	562	3009
63	571	3000
64	580	2990
65	589	2981
66	597	2971
67	606	2961
68	615	2952
69	624	2942
70	632	2930
71	641	2922
72	650	2914
73	659	2903
74	667	2893
75	676	2883
76	685	2873
77	694	2865
78	703	2857
79	712	2848
80	721	2839
81	730	2831
82	738	2821
83	747	2811
84	756	2804
85	765	2795
86	774	2786
87	782	2775
88	792	2767
89	800	2758
90	810	2750
91	818	2740
92	827	2730
93	837	2727
94	846	2718
95	855	2709
96	864	2700
97	873	2691
98	881	2681
99	890	2671
100	899	2663
101	908	2653
102	916	2643
103	925	2635
104	934	2625
105	942	2615
106	951	2605
107	960	2596
108	968	2586
109	976	2575
110	985	2565
111	994	2556
112	1003	2548
113	1011	2537
114	1021	2530
115	1032	2527
116	1044	2526
117	1054	2519
118	1062	2509
119	1071	2500
120	1080	2491
121	1089	2482
122	1100	2478
123	1109	2470
124	1118	2461
125	1127	2452
126	1136	2442
127	1145	2433
128	1154	2424
129	1163	2415
130	1170	2404
131	1179	2394
132	1188	2385
133	1197	2376
134	1205	2367
135	1214	2357
136	1222	2347
137	1231	2337
138	1241	2330
139	1250	2322
140	1258	2312
141	1266	2301
142	1275	2292
143	1283	2282
144	1292	2272
145	1299	2260
146	1306	2248
147	1315	2239
148	1323	2229
149	1331	2219
150	1341	2211
151	1349	2202
152	1358	2192
153	1367	2183
154	1375	2174
155	1384	2164
156	1392	2154
157	1400	2145
158	1409	2136
159	1418	2128
160	1427	2118
161	1435	2108
162	1444	2100
163	1452	2090
164	1462	2083
165	1471	2074
166	1480	2065
167	1488	2055
168	1496	2046
169	1505	2037
170	1514	2028
171	1523	2019
172	1532	2010
173	1540	2001
174	1549	1992
175	1558	1983
176	1566	1973
177	1575	1965
178	1583	1955
179	1592	1945
180	1600	1936
181	1609	1927
182	1618	1918
183	1627	1910
184	1637	1902
185	1646	1893
186	1654	1884
187	1663	1875
188	1672	1866
189	1680	1857
190	1689	1848
191	1696	1837
192	1704	1828
193	1713	1819
194	1722	1810
195	1731	1801
196	1741	1794
197	1749	1785
198	1758	1776
199	1767	1767
200	1775	1758
201	1784	1749
202	1793	1740
203	1801	1730
204	1809	1721
205	1818	1712
206	1826	1703
207	1835	1694
208	1844	1685
209	1853	1676
210	1862	1667
211	1870	1658
212	1880	1650
213	1889	1642
214	1898	1633
215	1906	1624
216	1915	1615
217	1924	1606
218	1932	1597
219	1941	1588
220	1950	1579
221	1958	1570
222	1968	1562
223	1977	1553
224	1985	1544
225	1993	1535
226	2003	1526
227	2017	1521
228	2029	1515
229	2038	1506
230	2046	1497
231	2055	1488
232	2064	1479
233	2073	1471
234	2082	1462
235	2090	1453
236	2099	1444
237	2109	1435
238	2118	1427
239	2127	1418
240	2135	1409
241	2144	1400
242	2153	1391
243	2162	1382
244	2170	1373
245	2179	1364
246	2187	1355
247	2196	1345
248	2203	1336
249	2212	1327
250	2220	1318
251	2229	1309
252	2238	1300
253	2247	1291
254	2255	1282
255	2264	1273
256	2273	1264
257	2282	1256
258	2291	1247
259	2299	1237
260	2307	1229
261	2316	1220
262	2325	1211
263	2334	1202
264	2343	1193
265	2352	1185
266	2360	1175
267	2368	1166
268	2375	1156
269	2384	1147
270	2392	1138
271	2401	1129
272	2409	1120
273	2419	1112
274	2428	1103
275	2436	1094
276	2446	1086
277	2455	1077
278	2462	1068
279	2471	1059
280	2480	1050
281	2488	1041
282	2497	1032
283	2506	1023
284	2514	1014
285	2523	1005
286	2531	996
287	2540	988
288	2549	979
289	2557	970
290	2567	961
291	2575	952
292	2583	943
293	2592	934
294	2601	925
295	2610	917
296	2619	908
297	2627	899
298	2637	891
299	2647	882
300	2656	873
301	2665	864
302	2672	855
303	2683	847
304	2692	838
